"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","13465407980","Garrido Riera, Eloi","08/07/1995","Padilla Duran, Marta","+34 XXXXXXX","+34 XXXXXXX","eloi@mailintaor.com","Perez Saez, Max","+34 XXXXZZZZ","+34 XXXXLLL","marta@mailintaor.com","c/ de l'aviador Max Perez Saez","L'Armentera","Albanyà","eloi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","41704741260","Redondo Blanco, Joana","28/04/1998","Vega Puig, Guillem","+34 XXXXXXX","+34 XXXXXXX","joana@mailintaor.com","Cano Cardona, Valentina","+34 XXXXZZZZ","+34 XXXXLLL","guillem@mailintaor.com","c/ de l'aviador Valentina Cano Cardona","L'Armentera","Albanyà","joana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","12201771816","Sancho Aparicio, Arnau","26/04/1990","Castillo Montes, Arlet","+34 XXXXXXX","+34 XXXXXXX","arnau@mailintaor.com","Cortes Arias, Bruno","+34 XXXXZZZZ","+34 XXXXLLL","arlet@mailintaor.com","c/ de l'aviador Bruno Cortes Arias","L'Armentera","Albanyà","arnau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","87701603964","Garrido Romero, Xavi","19/06/1990","Aparicio Carrera, Alan","+34 XXXXXXX","+34 XXXXXXX","xavi@mailintaor.com","Campos Nuñez, Unai","+34 XXXXZZZZ","+34 XXXXLLL","alan@mailintaor.com","c/ de l'aviador Unai Campos Nuñez","L'Armentera","Albanyà","xavi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","31671486959","Vera Leon, Adrián","01/07/1991","Casanova Torres, Leo","+34 XXXXXXX","+34 XXXXXXX","adrian@mailintaor.com","Gimeno Dalmau, Mario","+34 XXXXZZZZ","+34 XXXXLLL","leo@mailintaor.com","c/ de l'aviador Mario Gimeno Dalmau","L'Armentera","Albanyà","adrian@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","82309416864","Santamaria Galvez, Cristina","10/06/1996","Barrera Hidalgo, Ian","+34 XXXXXXX","+34 XXXXXXX","cristina@mailintaor.com","Miralles Badia, Joel","+34 XXXXZZZZ","+34 XXXXLLL","ian@mailintaor.com","c/ de l'aviador Joel Miralles Badia","L'Armentera","Albanyà","cristina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","42640606324","Exposito Valencia, Nil","15/12/1998","Rueda Iglesias, Berta","+34 XXXXXXX","+34 XXXXXXX","nil@mailintaor.com","Badia Montes, Laura","+34 XXXXZZZZ","+34 XXXXLLL","berta@mailintaor.com","c/ de l'aviador Laura Badia Montes","L'Armentera","Albanyà","nil@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","79498997439","Vera Pacheco, Malak","05/03/1991","Lopez Bueno, Andrea","+34 XXXXXXX","+34 XXXXXXX","malak@mailintaor.com","Carrasco Sola, Isaac","+34 XXXXZZZZ","+34 XXXXLLL","andrea@mailintaor.com","c/ de l'aviador Isaac Carrasco Sola","L'Armentera","Albanyà","malak@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","90781243632","Jimenez Carrillo, Clara","12/12/1990","Beltran Roca, Mario","+34 XXXXXXX","+34 XXXXXXX","clara@mailintaor.com","Sierra Romero, Marcos","+34 XXXXZZZZ","+34 XXXXLLL","mario@mailintaor.com","c/ de l'aviador Marcos Sierra Romero","L'Armentera","Albanyà","clara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","15488472780","Roig Aguilera, Ainara","21/03/1998","Carrasco Andreu, Inés","+34 XXXXXXX","+34 XXXXXXX","ainara@mailintaor.com","Carbonell Cuevas, Antonio","+34 XXXXZZZZ","+34 XXXXLLL","ines@mailintaor.com","c/ de l'aviador Antonio Carbonell Cuevas","L'Armentera","Albanyà","ainara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","28760535894","Bosch Bautista, Naia","09/10/1993","Valencia Moreno, Carlota","+34 XXXXXXX","+34 XXXXXXX","naia@mailintaor.com","Capdevila Comas, Laia","+34 XXXXZZZZ","+34 XXXXLLL","carlota@mailintaor.com","c/ de l'aviador Laia Capdevila Comas","L'Armentera","Albanyà","naia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","13040646710","Perez Manzano, Pau","14/08/1994","Luque Sanz, Joana","+34 XXXXXXX","+34 XXXXXXX","pau@mailintaor.com","Codina Alarcon, Ariadna","+34 XXXXZZZZ","+34 XXXXLLL","joana@mailintaor.com","c/ de l'aviador Ariadna Codina Alarcon","L'Armentera","Albanyà","pau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","64334498934","Soria Alarcon, Adriana","12/05/1993","Ortiz Saez, Pol","+34 XXXXXXX","+34 XXXXXXX","adriana@mailintaor.com","Mateo Galan, Pol","+34 XXXXZZZZ","+34 XXXXLLL","pol@mailintaor.com","c/ de l'aviador Pol Mateo Galan","L'Armentera","Albanyà","adriana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","77513210277","Busquets Casanovas, Bruno","04/02/1996","Rubio Nadal, Gerard","+34 XXXXXXX","+34 XXXXXXX","bruno@mailintaor.com","Gimeno Vazquez, Javier","+34 XXXXZZZZ","+34 XXXXLLL","gerard@mailintaor.com","c/ de l'aviador Javier Gimeno Vazquez","L'Armentera","Albanyà","bruno@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","60747753515","Galan Pozo, Eloi","27/05/1996","Luna Soria, Martina","+34 XXXXXXX","+34 XXXXXXX","eloi@mailintaor.com","Oliva Vidal, Queralt","+34 XXXXZZZZ","+34 XXXXLLL","martina@mailintaor.com","c/ de l'aviador Queralt Oliva Vidal","L'Armentera","Albanyà","eloi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","68401763002","Villanueva Llorens, Pablo","25/11/1997","Santamaria Pons, Oriol","+34 XXXXXXX","+34 XXXXXXX","pablo@mailintaor.com","Prieto Vargas, Biel","+34 XXXXZZZZ","+34 XXXXLLL","oriol@mailintaor.com","c/ de l'aviador Biel Prieto Vargas","L'Armentera","Albanyà","pablo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","45010047488","Herrera Hurtado, Mireia","18/05/1993","Zamora Robles, Sergi","+34 XXXXXXX","+34 XXXXXXX","mireia@mailintaor.com","Mir Sabate, Pablo","+34 XXXXZZZZ","+34 XXXXLLL","sergi@mailintaor.com","c/ de l'aviador Pablo Mir Sabate","L'Armentera","Albanyà","mireia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","37136789511","Cuenca Amaya, Queralt","24/07/1994","Duran Carreras, Andrea","+34 XXXXXXX","+34 XXXXXXX","queralt@mailintaor.com","Coll Ramon, Lluc","+34 XXXXZZZZ","+34 XXXXLLL","andrea@mailintaor.com","c/ de l'aviador Lluc Coll Ramon","L'Armentera","Albanyà","queralt@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","80557289401","Pages Arias, Helena","31/05/1991","Singh Planas, Leire","+34 XXXXXXX","+34 XXXXXXX","helena@mailintaor.com","Garrido Sanchez, Mariona","+34 XXXXZZZZ","+34 XXXXLLL","leire@mailintaor.com","c/ de l'aviador Mariona Garrido Sanchez","L'Armentera","Albanyà","helena@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","93472575630","Bertran Cuenca, Joel","06/10/1997","Galindo Bernal, Pablo","+34 XXXXXXX","+34 XXXXXXX","joel@mailintaor.com","Ventura Pardo, Oriol","+34 XXXXZZZZ","+34 XXXXLLL","pablo@mailintaor.com","c/ de l'aviador Oriol Ventura Pardo","L'Armentera","Albanyà","joel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","91151472972","Guillen Aguilar, Abril","14/02/1992","Gracia Alonso, Gabriel","+34 XXXXXXX","+34 XXXXXXX","abril@mailintaor.com","Galan Miranda, José","+34 XXXXZZZZ","+34 XXXXLLL","gabriel@mailintaor.com","c/ de l'aviador José Galan Miranda","L'Armentera","Albanyà","abril@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","60586988774","Sanz Sabate, Xavi","13/05/1993","Bosch Alsina, Albert","+34 XXXXXXX","+34 XXXXXXX","xavi@mailintaor.com","Blasco Bonet, Ayman","+34 XXXXZZZZ","+34 XXXXLLL","albert@mailintaor.com","c/ de l'aviador Ayman Blasco Bonet","L'Armentera","Albanyà","xavi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","58118411186","Montoya Ordoñez, Jan","14/05/1998","Galvez Reyes, Aina","+34 XXXXXXX","+34 XXXXXXX","jan@mailintaor.com","Prieto Alonso, Hugo","+34 XXXXZZZZ","+34 XXXXLLL","aina@mailintaor.com","c/ de l'aviador Hugo Prieto Alonso","L'Armentera","Albanyà","jan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","50359837641","Sole Zamora, Pau","12/08/1999","Pereira Gallego, José","+34 XXXXXXX","+34 XXXXXXX","pau@mailintaor.com","Carmona Castells, Mariona","+34 XXXXZZZZ","+34 XXXXLLL","jose@mailintaor.com","c/ de l'aviador Mariona Carmona Castells","L'Armentera","Albanyà","pau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","16469574024","Asensio Garrido, Carla","03/01/1993","Carrera Escudero, Salma","+34 XXXXXXX","+34 XXXXXXX","carla@mailintaor.com","Prieto Ordoñez, Abril","+34 XXXXZZZZ","+34 XXXXLLL","salma@mailintaor.com","c/ de l'aviador Abril Prieto Ordoñez","L'Armentera","Albanyà","carla@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","10608167820","Carmona Blasco, Queralt","03/07/1991","Alsina Singh, Arlet","+34 XXXXXXX","+34 XXXXXXX","queralt@mailintaor.com","Miguel Valero, Salma","+34 XXXXZZZZ","+34 XXXXLLL","arlet@mailintaor.com","c/ de l'aviador Salma Miguel Valero","L'Armentera","Albanyà","queralt@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","91977625301","Paredes Serrano, Judit","03/12/1996","Rosell Mateo, Cristina","+34 XXXXXXX","+34 XXXXXXX","judit@mailintaor.com","Perez Torrent, Marc","+34 XXXXZZZZ","+34 XXXXLLL","cristina@mailintaor.com","c/ de l'aviador Marc Perez Torrent","L'Armentera","Albanyà","judit@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","42835299673","Roman Santamaria, Blanca","10/01/1995","Vega Vives, Ona","+34 XXXXXXX","+34 XXXXXXX","blanca@mailintaor.com","Alsina Bautista, Emma","+34 XXXXZZZZ","+34 XXXXLLL","ona@mailintaor.com","c/ de l'aviador Emma Alsina Bautista","L'Armentera","Albanyà","blanca@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","21169236641","Parra Alvarez, Sergi","31/12/1992","Arias Cabello, Leo","+34 XXXXXXX","+34 XXXXXXX","sergi@mailintaor.com","Camacho Luna, Carlota","+34 XXXXZZZZ","+34 XXXXLLL","leo@mailintaor.com","c/ de l'aviador Carlota Camacho Luna","L'Armentera","Albanyà","sergi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","51306677617","Colomer Calvo, Anna","25/01/1997","Pujol Galvez, Iker","+34 XXXXXXX","+34 XXXXXXX","anna@mailintaor.com","Mata Suarez, José","+34 XXXXZZZZ","+34 XXXXLLL","iker@mailintaor.com","c/ de l'aviador José Mata Suarez","L'Armentera","Albanyà","anna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","30924372150","Rivera Alba, Abril","27/03/1997","Domingo Izquierdo, Lucía","+34 XXXXXXX","+34 XXXXXXX","abril@mailintaor.com","Marti Font, Miquel","+34 XXXXZZZZ","+34 XXXXLLL","lucia@mailintaor.com","c/ de l'aviador Miquel Marti Font","L'Armentera","Albanyà","abril@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","56595268251","Salazar Romero, Iris","07/03/1995","Vega Iglesias, Adrià","+34 XXXXXXX","+34 XXXXXXX","iris@mailintaor.com","Juan Herrero, Adam","+34 XXXXZZZZ","+34 XXXXLLL","adria@mailintaor.com","c/ de l'aviador Adam Juan Herrero","L'Armentera","Albanyà","iris@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","70032060708","Capdevila Vazquez, Valentina","20/01/1991","Ibañez Simon, Aya","+34 XXXXXXX","+34 XXXXXXX","valentina@mailintaor.com","Pallares Roman, Marta","+34 XXXXZZZZ","+34 XXXXLLL","aya@mailintaor.com","c/ de l'aviador Marta Pallares Roman","L'Armentera","Albanyà","valentina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","80166013334","Salas Pages, Eva","07/12/1990","Cuevas Rico, Aitor","+34 XXXXXXX","+34 XXXXXXX","eva@mailintaor.com","Palau Parra, Biel","+34 XXXXZZZZ","+34 XXXXLLL","aitor@mailintaor.com","c/ de l'aviador Biel Palau Parra","L'Armentera","Albanyà","eva@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","10231392779","Cortes Marco, Lola","11/03/1997","Nadal Codina, Pau","+34 XXXXXXX","+34 XXXXXXX","lola@mailintaor.com","Aranda Cano, Hugo","+34 XXXXZZZZ","+34 XXXXLLL","pau@mailintaor.com","c/ de l'aviador Hugo Aranda Cano","L'Armentera","Albanyà","lola@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","37766309989","Nadal Santos, Pablo","05/10/1996","Calderon Mata, Aitana","+34 XXXXXXX","+34 XXXXXXX","pablo@mailintaor.com","Hidalgo Alba, Salma","+34 XXXXZZZZ","+34 XXXXLLL","aitana@mailintaor.com","c/ de l'aviador Salma Hidalgo Alba","L'Armentera","Albanyà","pablo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","47535359642","Iglesias Jurado, Valentina","22/03/1993","Santamaria Vives, Clara","+34 XXXXXXX","+34 XXXXXXX","valentina@mailintaor.com","Cardona Casas, Blanca","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Blanca Cardona Casas","L'Armentera","Albanyà","valentina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","28192332099","Collado Domenech, Marwa","20/09/1993","Ramon Cano, Elsa","+34 XXXXXXX","+34 XXXXXXX","marwa@mailintaor.com","Coll Miguel, Naiara","+34 XXXXZZZZ","+34 XXXXLLL","elsa@mailintaor.com","c/ de l'aviador Naiara Coll Miguel","L'Armentera","Albanyà","marwa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","94483332417","Esteve Singh, Albert","06/09/1997","Saez Valencia, Oriol","+34 XXXXXXX","+34 XXXXXXX","albert@mailintaor.com","Prat Figueras, Alexandra","+34 XXXXZZZZ","+34 XXXXLLL","oriol@mailintaor.com","c/ de l'aviador Alexandra Prat Figueras","L'Armentera","Albanyà","albert@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","95572922965","Rivera Ferrer, Elsa","20/11/1998","Aranda Plaza, Xavi","+34 XXXXXXX","+34 XXXXXXX","elsa@mailintaor.com","Pages Ferrer, Ayman","+34 XXXXZZZZ","+34 XXXXLLL","xavi@mailintaor.com","c/ de l'aviador Ayman Pages Ferrer","L'Armentera","Albanyà","elsa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","46655526687","Casado Planas, Noa","06/04/1998","Gomez Oliva, Max","+34 XXXXXXX","+34 XXXXXXX","noa@mailintaor.com","Ortiz Escudero, Mario","+34 XXXXZZZZ","+34 XXXXLLL","max@mailintaor.com","c/ de l'aviador Mario Ortiz Escudero","L'Armentera","Albanyà","noa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","75969641701","Vargas Pacheco, Daniel","01/09/1999","Aguilera Roca, Marta","+34 XXXXXXX","+34 XXXXXXX","daniel@mailintaor.com","Casanovas Santos, Judit","+34 XXXXZZZZ","+34 XXXXLLL","marta@mailintaor.com","c/ de l'aviador Judit Casanovas Santos","L'Armentera","Albanyà","daniel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","93900172506","Miro Ponce, Andrea","15/08/1996","Casas Viñas, Ainhoa","+34 XXXXXXX","+34 XXXXXXX","andrea@mailintaor.com","Gutierrez Rovira, Naia","+34 XXXXZZZZ","+34 XXXXLLL","ainhoa@mailintaor.com","c/ de l'aviador Naia Gutierrez Rovira","L'Armentera","Albanyà","andrea@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","84870726072","Capdevila Camps, Laia","02/12/1999","Paredes Guillen, Noa","+34 XXXXXXX","+34 XXXXXXX","laia@mailintaor.com","Farre Mateu, Ona","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Ona Farre Mateu","L'Armentera","Albanyà","laia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","63518129937","Arenas Villanueva, Jaume","10/10/1995","Hidalgo Marti, Valentina","+34 XXXXXXX","+34 XXXXXXX","jaume@mailintaor.com","Ibañez Villar, Diego","+34 XXXXZZZZ","+34 XXXXLLL","valentina@mailintaor.com","c/ de l'aviador Diego Ibañez Villar","L'Armentera","Albanyà","jaume@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","83964054395","Lazaro Pastor, Isaac","09/11/1991","Casado Peña, Erik","+34 XXXXXXX","+34 XXXXXXX","isaac@mailintaor.com","Juan Sole, Ona","+34 XXXXZZZZ","+34 XXXXLLL","erik@mailintaor.com","c/ de l'aviador Ona Juan Sole","L'Armentera","Albanyà","isaac@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","22082509415","Rueda Singh, Roger","10/04/1990","Mata Cuevas, Iris","+34 XXXXXXX","+34 XXXXXXX","roger@mailintaor.com","Marti Medina, Hugo","+34 XXXXZZZZ","+34 XXXXLLL","iris@mailintaor.com","c/ de l'aviador Hugo Marti Medina","L'Armentera","Albanyà","roger@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","27258131453","Luque Sala, Mar","07/09/1997","Andreu Escudero, Leo","+34 XXXXXXX","+34 XXXXXXX","mar@mailintaor.com","Esteban Espinosa, Mariona","+34 XXXXZZZZ","+34 XXXXLLL","leo@mailintaor.com","c/ de l'aviador Mariona Esteban Espinosa","L'Armentera","Albanyà","mar@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","12008446465","Cardenas Maldonado, Leo","08/12/1993","Bosch Calderon, Unai","+34 XXXXXXX","+34 XXXXXXX","leo@mailintaor.com","Pages Saez, Marc","+34 XXXXZZZZ","+34 XXXXLLL","unai@mailintaor.com","c/ de l'aviador Marc Pages Saez","L'Armentera","Albanyà","leo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","36342195106","Bonet Llorens, Hugo","28/09/1994","Quesada Miralles, Martí","+34 XXXXXXX","+34 XXXXXXX","hugo@mailintaor.com","Ruiz Blasco, Bruna","+34 XXXXZZZZ","+34 XXXXLLL","marti@mailintaor.com","c/ de l'aviador Bruna Ruiz Blasco","L'Armentera","Albanyà","hugo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","39038059286","Molina Dominguez, Ariadna","20/05/1996","Alba Alba, Ferran","+34 XXXXXXX","+34 XXXXXXX","ariadna@mailintaor.com","Arroyo Guerrero, Nil","+34 XXXXZZZZ","+34 XXXXLLL","ferran@mailintaor.com","c/ de l'aviador Nil Arroyo Guerrero","L'Armentera","Albanyà","ariadna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","80072930519","Marco Gomez, Ainhoa","20/07/1993","Iglesias Bueno, Joan","+34 XXXXXXX","+34 XXXXXXX","ainhoa@mailintaor.com","Montes Fernandez, Alan","+34 XXXXZZZZ","+34 XXXXLLL","joan@mailintaor.com","c/ de l'aviador Alan Montes Fernandez","L'Armentera","Albanyà","ainhoa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","89102352541","Viñas Martos, Elena","19/09/1994","Andreu Marquez, Sara","+34 XXXXXXX","+34 XXXXXXX","elena@mailintaor.com","Guzman Franco, Javier","+34 XXXXZZZZ","+34 XXXXLLL","sara@mailintaor.com","c/ de l'aviador Javier Guzman Franco","L'Armentera","Albanyà","elena@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","96016725328","Medina Molina, Clara","22/10/1993","Quesada Duran, Marwa","+34 XXXXXXX","+34 XXXXXXX","clara@mailintaor.com","Sancho Montero, Ismael","+34 XXXXZZZZ","+34 XXXXLLL","marwa@mailintaor.com","c/ de l'aviador Ismael Sancho Montero","L'Armentera","Albanyà","clara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","24049859074","Cardenas Izquierdo, Quim","28/01/1992","Guerra Serrano, Carlos","+34 XXXXXXX","+34 XXXXXXX","quim@mailintaor.com","Marti Roca, Irene","+34 XXXXZZZZ","+34 XXXXLLL","carlos@mailintaor.com","c/ de l'aviador Irene Marti Roca","L'Armentera","Albanyà","quim@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","58363732671","Esteban Rius, Naia","04/09/1996","Lorenzo Mata, Roc","+34 XXXXXXX","+34 XXXXXXX","naia@mailintaor.com","Reyes Coll, Eloi","+34 XXXXZZZZ","+34 XXXXLLL","roc@mailintaor.com","c/ de l'aviador Eloi Reyes Coll","L'Armentera","Albanyà","naia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
